Organ,Organ_Condition,Image URL
Human Body,Healthy,https://drive.google.com/thumbnail?id=1THcZgPo6GLPmGeY-_WFTRTDmKR3b7ntP
Human Body,Damaged,https://drive.google.com/thumbnail?id=1KzW0Oyn_KxCGkHR9G8rMocAU9aS0f3B0
Heart,Healthy,https://drive.google.com/thumbnail?id=1H5BN7nE-ZFSCnfc57Y3v0K0xBN69d-jv
Heart,Damaged,https://drive.google.com/thumbnail?id=1_0ZLpjnb2RHEtggC6ecipbYOEekngKUA
Lungs,Healthy,https://drive.google.com/thumbnail?id=1Fm9jWRLLEUg9WrEd-FKMJ9U1FFeG3Nin
Lungs,Damaged,https://drive.google.com/thumbnail?id=1OePUJBi6x4kibgg9fI6eKyIM0CjqF0Vd
Kidney,Healthy,https://drive.google.com/thumbnail?id=1cwTTGVEjngxspxUnIlHnGEnXXaFMxOLQ
Kidney,Damaged,https://drive.google.com/thumbnail?id=1ZWhp-n0cErkY4hOMulsO3jPaEwLtRIks
Liver,Healthy,https://drive.google.com/thumbnail?id=1kQRFuUo6HZkjKrnKVS06kChZ6Hu1ipx0
Liver,Damaged,https://drive.google.com/thumbnail?id=1vuWf6fZcZ85r40-_rk4cvE5H1xXyUHJA
